[08/04/2024, 05:34] Ravin7 has killed BossAimxn (reason 49).
[09/04/2024, 08:15] Muhd_Mann has killed Muhd_Ijoy (reason 0).
[09/04/2024, 08:21] Muhd_Ijoy has killed Muhd_Mann (Desert Eagle).
[09/04/2024, 09:11] Ravin7 has killed BossAimxn (reason 0).
[09/04/2024, 09:11] Ravin7 has killed BOCIL (reason 0).
[09/04/2024, 13:33] Muhd_Mann has killed Annas_Rafael (Baseball Bat).
[09/04/2024, 14:12] Muhd_Mann has killed Yoshiro_Kenji (Baseball Bat).
[09/04/2024, 18:10] Mohd_Niel has killed Ramlan_Khamis (reason 50).
[11/04/2024, 16:59] Ravin7 has killed BossAimxn (reason 51).
[11/04/2024, 16:59] Ravin7 has killed BossAimxn (reason 51).
[11/04/2024, 17:00] Ravin7 has killed BossAimxn (reason 51).
[11/04/2024, 17:00] Ravin7 has killed BossAimxn (reason 51).
[11/04/2024, 17:01] Ravin7 has killed BossAimxn (reason 51).
[11/04/2024, 17:01] Ravin7 has killed BossAimxn (reason 51).
[11/04/2024, 17:02] Ravin7 has killed Muhd_Mann (reason 51).
[11/04/2024, 17:02] Ravin7 has killed BossAimxn (reason 51).
[11/04/2024, 17:02] Ravin7 has killed BossAimxn (reason 51).
[11/04/2024, 17:03] Ravin7 has killed BossAimxn (Flamethrower).
[11/04/2024, 17:03] Ravin7 has killed BossAimxn (Minigun).
[11/04/2024, 17:03] Ravin7 has killed BossAimxn (Minigun).
[11/04/2024, 17:04] Ravin7 has killed BossAimxn (Minigun).
[11/04/2024, 17:04] Ravin7 has killed Muhd_Mann (Minigun).
[11/04/2024, 17:04] Ravin7 has killed BossAimxn (Minigun).
[11/04/2024, 17:04] Ravin7 has killed BossAimxn (Minigun).
[11/04/2024, 17:04] Ravin7 has killed BossAimxn (Minigun).
[11/04/2024, 17:04] Ravin7 has killed BossAimxn (Minigun).
[11/04/2024, 17:04] Ravin7 has killed BossAimxn (Minigun).
[11/04/2024, 17:04] Ravin7 has killed BossAimxn (Minigun).
[11/04/2024, 17:05] Ravin7 has killed BossAimxn (Minigun).
[11/04/2024, 17:05] Ravin7 has killed BossAimxn (Minigun).
[23/04/2024, 09:38] Lily has killed BossAimxn (Desert Eagle).
